GEOID,LOW_INCOME_RAW,LOW_ACCESS_RAW,NO_VEHICLE_RAW,LILA,NEAREST_GROCERY_MI,LILA_N,LOW_INCOME_N,LOW_ACCESS_N,NO_VEHICLE_N,DIST_N,SCORE_0_1,SCORE_1_10
42003472200,0.0,0.0,0.0,0,0.3191100745064757,0.0,0.0,0.0,0.0,0.026128960668050174,0.0065322401670125435,1
42003482500,0.0,46.1674740165472,0.0,0,0.2477402806548853,0.0,0.0,0.007396163615606138,0.0,0.01894935467623718,0.006216571392180522,1
42003560400,0.0,0.0,0.0,0,0.05937179101828236,0.0,0.0,0.0,0.0,0.0,0.0,1
42003473200,0.0,0.0,0.0,0,1.2375371272822262,0.0,0.0,0.0,0.0,0.11852020933641084,0.02963005233410271,1
42003473500,0.0,0.0,0.0,0,0.826542909002144,0.0,0.0,0.0,0.0,0.07717531546856311,0.01929382886714078,1
42003191100,0.0,568.112463951111,0.0,0,0.5650073146893727,0.0,0.0,0.09101326908077201,0.0,0.05086555024905069,0.030919041378417077,1
42003489001,0.0,0.0,0.0,0,0.4041690194402849,0.0,0.0,0.0,0.0,0.03468565780485239,0.008671414451213097,1
42003492700,0.0,1839.87282544142,0.0,1,0.6190635616141099,1.0,0.0,0.2947529779081038,0.0,0.056303460790347815,0.3230264607792077,4
42003100500,0.0,0.0,0.0,0,0.7375333607657031,0.0,0.0,0.0,0.0,0.06822119844847202,0.017055299612118005,1
42003051100,0.0,0.0,0.0,0,0.27506276216137404,0.0,0.0,0.0,0.0,0.02169792156075278,0.005424480390188195,1
42003515100,0.0,0.0,0.0,0,0.687131650432095,0.0,0.0,0.0,0.0,0.06315092428933303,0.015787731072333257,1
42003040900,0.0,10.8537417650223,0.0,0,0.5426035750740992,0.0,0.0,0.0017388009988779196,0.0,0.04861179534098251,0.012500709035021212,1
42003447000,0.0,1180.08878907957,0.0,0,1.0716463923883952,0.0,0.0,0.18905365630024967,0.0,0.10183205528756081,0.06326874508194014,2
42003431400,0.0,0.0,0.0,0,0.4897790696207328,0.0,0.0,0.0,0.0,0.043297794621627826,0.010824448655406957,1
42003428100,0.0,712.047980770469,0.0,0,1.165737057724512,0.0,0.0,0.11407215751186187,0.0,0.11129731878580759,0.050638761198824274,1
42003262000,0.0,1179.24083623337,0.0,1,1.0643765902078204,1.0,0.0,0.1889178117880165,0.0,0.1011007330785674,0.3130587456272451,4
42003980400,0.0,4.80412233620882,0.0,0,1.003884136779576,0.0,0.0,0.0007696343710564095,0.0,0.09501535777264988,0.023907766317373753,1
42003981100,0.0,0.0,0.0,0,0.7720149247086058,0.0,0.0,0.0,0.0,0.07168994943865062,0.017922487359662655,1
42003450800,0.0,0.0,0.0,0,1.766723588652734,0.0,0.0,0.0,0.0,0.17175491948203006,0.042938729870507515,1
42003486700,0.0,0.0,0.0,0,0.8290074916940523,0.0,0.0,0.0,0.0,0.0774232457442052,0.0193558114360513,1
42003471000,0.0,0.0,0.0,0,0.2291346000046378,0.0,0.0,0.0,0.0,0.017077674108460127,0.004269418527115032,1
42003490002,0.0,4802.00002885884,0.0,0,1.210845161933239,0.0,0.0,0.7692943712462091,0.0,0.11583507065223089,0.18281764191229954,3
42003488200,0.0,1382.5514026396,0.0,0,0.49897564114082277,0.0,0.0,0.2214887558553284,0.0,0.04422294455448423,0.05535348730968674,1
42003524000,0.0,0.0,0.0,0,0.380510184088282,0.0,0.0,0.0,0.0,0.0323056436996446,0.00807641092491115,1
42003522000,0.0,3277.22870538477,0.0,1,1.4889867779258183,1.0,0.0,0.525021570426383,0.0,0.14381535621821437,0.3909581531398302,5
42003464400,0.0,124.1912368536,0.0,0,0.21527638793821308,0.0,0.0,0.019895797354312707,0.0,0.015683575891015145,0.007900053443616328,1
42003484300,0.0,39.6055165827274,0.0,0,0.8378095590434378,0.0,0.0,0.0063449189492468935,0.0,0.07830870963686266,0.020846161199065044,1
42003191400,0.0,0.0,0.0,0,0.14419042082571087,0.0,0.0,0.0,0.0,0.008532522092596907,0.0021331305231492266,1
42003281500,0.0,0.0,0.0,0,0.9917615333684427,0.0,0.0,0.0,0.0,0.0937958570372557,0.023448964259313924,1
42003480102,0.0,0.0,0.0,0,0.823136843442475,0.0,0.0,0.0,0.0,0.07683267459234651,0.019208168648086627,1
42003457100,0.0,0.0,0.0,0,0.4661882598517261,0.0,0.0,0.0,0.0,0.04092462370394964,0.01023115592598741,1
42003492800,0.0,1152.34831323012,0.0,1,0.10577382485561358,1.0,0.0,0.18460955138595947,0.0,0.0046679176468349655,0.2880888896889006,4
42003499300,0.0,1573.99999666959,0.0,1,2.163365759787613,1.0,0.0,0.25215937744740535,0.0,0.2116560366746536,0.3533458846581445,4
42003141300,0.0,0.0,0.0,0,0.35327630798191856,0.0,0.0,0.0,0.0,0.029565990275954874,0.0073914975689887185,1
42003080600,0.0,0.0,0.0,0,0.29346475220200674,0.0,0.0,0.0,0.0,0.023549111410505516,0.005887277852626379,1
42003060500,0.0,0.0,0.0,0,0.5500497991329689,0.0,0.0,0.0,0.0,0.049360865108237444,0.012340216277059361,1
42003130200,0.0,0.0,0.0,0,0.9453221924404361,0.0,0.0,0.0,0.0,0.08912418639917198,0.022281046599792995,1
42003516200,0.0,7.9460768699646,0.0,0,0.48508222326584544,0.0,0.0,0.0012729846257427328,0.0,0.042825304729022885,0.010960923107404269,1
42003513800,0.0,417.674223014154,0.0,0,0.13791784044357208,0.0,0.0,0.06691262533286169,0.0,0.007901517668100747,0.015357904483597523,1
