GEOID,LILA,areaSqMi,groceryCount,restaurantCount,fastFoodCount,foodBankCount,farmersMarketCount,convenienceCount,groceryDensity,fastFoodDensity,restaurantDensity,convenienceDensity,fastFoodShare,FAVI_0_100
42003472200,0,0.2531971524615395,0,14,5,0,0,1,0.0,19.747457470950415,55.29288091866117,3.949491494190083,0.2631578947368421,53.46759805162535
42003482500,0,1.0186871147074656,1,13,3,0,0,2,0.9816556875632692,2.9449670626898072,12.7615239383225,1.9633113751265383,0.1875,41.49969800749323
42003560400,0,0.19838672932260887,1,3,0,0,0,2,5.040659742788735,0.0,15.121979228366206,10.08131948557747,0.0,22.905798159764824
42003473200,0,0.28025333462453206,0,11,2,0,0,1,0.0,7.136400366759203,39.25020201717561,3.5682001833796013,0.15384615384615385,46.568163375913734
42003473500,0,0.9178660463217385,0,9,3,0,0,1,0.0,3.2684507854084117,9.805352356225235,1.0894835951361372,0.25,46.46506648872034
42003191100,0,0.6173997062552099,1,4,0,0,0,0,1.6196962678609332,0.0,6.478785071443733,0.0,0.0,33.71085857940956
42003489001,0,1.4290062747531151,1,19,6,0,0,7,0.6997869902095194,4.198721941257117,13.295952813980868,4.898508931466636,0.24,44.82497097925596
42003492700,1,1.703900355915367,0,7,0,0,0,2,0.0,0.0,4.108221455379337,1.1737775586798107,0.0,50.28854461500545
42003100500,0,0.27702981176030717,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,40.0
42003051100,0,0.07563986541733715,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40.0
42003515100,0,0.4201411085075646,0,5,3,1,0,5,0.0,7.140458144304595,11.900763573840992,11.900763573840992,0.375,53.04108437110662
42003040900,0,0.35296055093676637,0,1,0,1,0,2,0.0,0.0,2.833177807961752,5.666355615923504,0.0,41.39293547366803
42003447000,0,1.5051542428576885,0,1,1,1,0,0,0.0,0.6643837365806432,0.6643837365806432,0.0,0.5,50.24336578896863
42003431400,0,0.26608095536186926,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40.0
42003428100,0,0.3591059367340306,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40.0
42003262000,1,0.6323907946839157,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,50.0
42003980400,0,0.43994471214840114,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40.0
42003981100,0,0.33977297751126456,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40.0
42003450800,0,0.64546613753696,0,12,1,2,0,2,0.0,1.5492679504705062,18.591215405646075,3.0985359009410125,0.07692307692307693,42.867662672562304
42003486700,0,1.0442912258330013,0,6,1,1,0,2,0.0,0.9575872852923077,5.7455237117538465,1.9151745705846155,0.14285714285714285,43.6787090072878
42003471000,0,0.2883837251197006,0,2,1,0,0,2,0.0,3.4676020624427606,6.935204124885521,6.935204124885521,0.3333333333333333,49.6417108432465
42003490002,0,3.1899204461732937,1,8,1,2,0,2,0.31348744173216747,0.31348744173216747,2.5078995338573398,0.6269748834643349,0.1111111111111111,41.273935330848154
42003488200,0,1.229970732853439,1,12,1,1,0,2,0.813027475605111,0.813027475605111,9.756329707261333,1.626054951210222,0.07692307692307693,39.079086154289136
42003524000,0,0.5985758602076376,1,12,1,0,0,1,1.6706320225695601,1.6706320225695601,20.047584270834722,1.6706320225695601,0.07692307692307693,36.074182744124144
